,Topic,Description
0,0,"['education', 'water', 'vitamin', 'immunity', 'good', 'risk', 'dairy', 'milk', 'environment', 'behealthy', 'news', 'may', 'cancer', 'see', 'diabetes', 'diet', 'reduce', 'support', 'agriculture', 'energy', 'need', 'c', 'beverage', 'healthtech', 'climatechange', 'also', 'publichealth', 'climate', 'security', 'animals']"
1,1,"['fitness', 'diet', 'nutrition', 'weightloss', 'healthyfood', 'vegan', 'healthyeating', 'healthyliving', 'exercise', 'workout', 'fit', 'motivation', 'gym', 'plantbased', 'fitnessmotivation', 'weight', 'bodybuilding', 'vegetarian', 'organic', 'body', 'tips', 'training', 'fitfam', 'protein', 'cooking', 'fatloss', 'instagood', 'usa', 'veganfood', 'natural']"
2,2,"['cooking', 'environment', 'herbs', 'sustainability', 'homemade', 'friday', 'spices', 'homecooking', 'chef', 'kitchen', 'photooftheday', 'dieta', 'dining', 'stayhome', 'foodies', 'history', 'episode', 'podcast', 'sustainable', 'use', 'services', 'tasty', 'contains', 'donate', 'government', 'sprouts', 'us', 'garlic', 'impact', 'dinner']"
3,3,"['yoga', 'diet', 'stress', 'happiness', 'funny', 'fun', 'fitness', 'style', 'anxiety', 'hot', 'happy', 'diabetes', 'luxury', 'london', 'beauty', 'smile', 'nutrition', 'comedy', 'tagfire', 'home', 'immunesystem', 'govegan', 'superfoods', 'hair', 'cool', 'sundayvibes', 'fitspo', 'pain', 'alkaline', 'women']"
4,4,"['keto', 'diet', 'heart', '2020', 'ketodiet', 'ketogenic', 'nutrition', 'silver', 'meat', 'organic', 'farming', 'disease', 'fashion', '100', 'vegetables', 'choice', 'red', 'weightlossjourney', 'vision', '28', 'lowcarb', 'agriculture', 'crisis', 'good', 'ketogenicdiet', 'discover', 'million', 'drink', 'medicine', 'sugar']"
5,5,"['market', 'marketresearch', 'foodandbeverage', 'world', 'restaurants', 'safety', 'human', 'us', 'review', 'agriculture', 'safe', 'obesity', 'buy', 'take', 'billion', 'nutrition', 'foodsafety', '2021', 'marketing', 'visit', 'gift', 'quality', 'meat', 'shop', 'read', 'report', 'online', 'technology', 'care', 'allergies']"
6,6,"['nutrition', 'breakfast', 'healthyfood', 'recipe', 'delicious', 'good', 'vegan', 'body', 'organic', 'yummy', 'diet', 'protein', 'like', 'fruits', 'fruit', 'us', 'cleaneating', 'salad', 'vitamins', 'fresh', 'need', 'lunch', 'carbs', 'vegetables', 'tasty', 'get', 'great', 'week', 'dinner', 'nutrients']"
7,7,"['recipes', 'muscle', 'recipe', 'foodindustry', 'lean', 'drink', 'healthyeating', 'beverage', 'fitness', 'chicken', 'blog', 'seo', 'cooking', 'wisdom', 'nutrition', 'lamuscle', 'black', 'winter', 'meat', 'strong', 'reading', 'learn', 'mondaythoughts', 'meal', 'chef', 'youtube', 'fashion', 'mexican', 'festival', 'frizemedia']"
8,8,"['family', 'business', 'travel', 'inspiration', 'happy', 'friends', 'beauty', 'music', 'peace', 'cannabis', 'nature', 'zen', 'art', 'friend', 'mentalhealth', 'november', 'sports', 'home', 'bayarea', 'jesus', 'photography', 'design', 'explore', 'thanksgiving', 'hollywood', 'lovelife', 'ohio', 'justsaying', 'onewithspirit', 'olgaroderick']"
9,9,"['weightlossjourney', 'nutrition', 'healthyfood', 'eatclean', 'brain', 'diet', 'tea', 'coffee', 'sugar', 'trending', 'healthyeating', 'kids', 'instafood', 'snacks', 'paleo', 'book', 'foodblogger', 'soup', 'children', 'eggs', 'meal', 'nuts', 'healthyrecipes', 'cheese', 'good', 'egg', 'check', 'healthforall', 'women', 'coach']"
